,event,event_size,datetime,actor
51,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#dropEvent,10,30/01/2010,http://dbpedia.org/resource/John_Terry
52,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#fatherEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
53,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#fineEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
54,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#handEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
55,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#motherEvent,10,30/01/2010,http://dbpedia.org/resource/John_Terry
56,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#reformEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
57,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#remindEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
58,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#sayEvent,16,30/01/2010,http://dbpedia.org/resource/John_Terry
59,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#seriesEvent,5,30/01/2010,http://dbpedia.org/resource/John_Terry
60,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#shrugEvent,6,30/01/2010,http://dbpedia.org/resource/John_Terry
61,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#stateEvent,7,30/01/2010,http://dbpedia.org/resource/John_Terry
62,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/30/7XNN-V0B0-Y9NR-001D.xml#strayEvent,8,30/01/2010,http://dbpedia.org/resource/John_Terry
64,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#beliefEvent,6,29/01/2010,http://dbpedia.org/resource/Landon_Donovan
65,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XNN-KPD0-Y9NR-H01D.xml#guideEvent,8,29/01/2010,http://dbpedia.org/resource/Landon_Donovan
66,http://www.newsreader-project.eu/LNdata/hackathon/2010/01/29/7XP5-GNH1-2R4F-70H4.xml#liftEvent,8,29/01/2010,http://dbpedia.org/resource/Didier_Drogba
